test_name,tasks,structure,seq_time_s,seq_success_rate,seq_completed,seq_failed,hybrid_time_s,hybrid_success_rate,hybrid_completed,hybrid_failed,hybrid_batches,speedup,best_mode,timestamp
db_product_sales,2,Linear,63.59775114059448,100.0,2,0,91.13837838172913,100.0,0,0,0,0.6978152592776895,Sequential,2025-11-16T23:12:11.660794
os_user_analysis,3,Linear,100.04361248016357,100.0,3,0,63.695761919021606,100.0,0,0,0,1.570647865196308,Hybrid,2025-11-16T23:15:05.415410
os_system_health_fanout,8,Fan-out,244.50982570648193,100.0,8,0,245.19368624687195,100.0,0,0,0,0.9972109373986838,Sequential,2025-11-16T23:23:28.475575
web_scraping_fanout,12,Fan-out,400.99650406837463,100.0,12,0,305.5420002937317,100.0,0,0,0,1.3124104171697446,Hybrid,2025-11-16T23:35:28.361037
data_pipeline_mixed,16,Mixed,791.6129858493805,100.0,16,0,598.5482029914856,100.0,0,0,0,1.3225551123417896,Hybrid,2025-11-16T23:58:48.545732
